city,city_en,city_fa,lat,lng,country,iso2,admin_name,capital,population,population_proper
Borāzjān,Borazjan,برازجان,29.2694,51.22,Iran,IR,Būshehr,minor,155567.0,110567.0
Gonbad-e Kāvūs,Gonbad-e Kavus,گنبد کاووس,37.2433,55.1692,Iran,IR,Golestān,minor,151910.0,151910.0
Shāhrūd,Shahrud,شاهرود,36.4133,54.9781,Iran,IR,Semnān,minor,150129.0,150129.0
Marvdasht,Marvdasht,مرودشت,29.8786,52.8067,Iran,IR,Fārs,minor,148858.0,148858.0
Qūchān,Quchan,قوچان,37.106,58.5095,Iran,IR,Khorāsān-e Raẕavī,minor,145531.0,145531.0
Jahrom,Jahrom,جهرم,28.5031,53.5658,Iran,IR,Fārs,minor,141634.0,141634.0
Kamālshahr,Kamalshahr,کمال‌شهر,35.8658,50.8717,Iran,IR,Alborz,,141166.0,141166.0
Torbat-e Ḩeydarīyeh,Torbat-e Heydariyeh,تربت حیدریه,35.29,59.2169,Iran,IR,Khorāsān-e Raẕavī,minor,140019.0,140019.0
Marīvān,Marivan,مریوان,35.5217,46.1806,Iran,IR,Kordestān,minor,136654.0,136654.0
Andīmeshk,Andimeshk,اندیمشک,32.4714,48.3489,Iran,IR,Khūzestān,minor,135116.0,135116.0
Shahreẕā,Shahreza,شهرضا,32.0122,51.8594,Iran,IR,Eşfahān,minor,134952.0,134952.0
Zābol,Zabol,زابل,31.0339,61.4878,Iran,IR,Sīstān va Balūchestān,minor,134950.0,134950.0
Khorramshahr,Khorramshahr,خرمشهر,30.4394,48.1817,Iran,IR,Khūzestān,minor,133097.0,133097.0
Marand,Marand,مرند,38.4331,45.7686,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,130825.0,130825.0
Jīroft,Jiroft,جیرفت,28.6797,57.7447,Iran,IR,Kermān,minor,130429.0,130429.0
Salmās,Salmas,سلماس,38.2028,44.7669,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,127864.0,127864.0
Bam,Bam,بم,29.0994,58.3436,Iran,IR,Kermān,minor,127396.0,127396.0
Behbahān,Behbahan,بهبهان,30.5942,50.2433,Iran,IR,Khūzestān,minor,122604.0,122604.0
Dorūd,Dorud,دورود,33.4994,49.0531,Iran,IR,Lorestān,minor,121608.0,121608.0
Naz̧arābād,Nazarabad,نظرآباد,35.9583,50.605,Iran,IR,Alborz,minor,119512.0,119512.0
Moḩammad Shahr,Mohammad Shahr,محمدشهر,35.7483,50.9025,Iran,IR,Alborz,,119418.0,119418.0
Bandar-e Anzalī,Bandar-e Anzali,بندر انزلی,37.4708,49.47,Iran,IR,Gīlān,minor,118564.0,118564.0
Īrānshahr,Iranshahr,ایرانشهر,27.1978,60.6836,Iran,IR,Sīstān va Balūchestān,minor,113750.0,113750.0
Fasā,Fasa,فسا,28.9483,53.6336,Iran,IR,Fārs,minor,110825.0,110825.0
Bāneh,Baneh,بانه,35.9969,45.8853,Iran,IR,Kordestān,minor,110218.0,110218.0
Yāsūj,Yasuj,یاسوج,30.6672,51.5797,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,admin,108505.0,108505.0
Chābahār,Chabahar,چابهار,25.2928,60.6497,Iran,IR,Sīstān va Balūchestān,minor,106739.0,106739.0
Robāţ Karīm,Robat Karim,رباط‌کریم,35.4825,51.0786,Iran,IR,Tehrān,minor,105393.0,105393.0
Kāshmar,Kashmar,کاشمر,35.2431,58.4594,Iran,IR,Khorāsān-e Raẕavī,minor,102282.0,102282.0
Shūshtar,Shushtar,شوشتر,32.045,48.8594,Iran,IR,Khūzestān,minor,101878.0,101878.0
Ahar,Ahar,اهر,38.4797,47.0669,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,100641.0,100641.0
Masjed Soleymān,Masjed Soleyman,مسجدسلیمان,31.96,49.2881,Iran,IR,Khūzestān,minor,100497.0,100497.0
Torbat-e Jām,Torbat-e Jam,تربت جام,35.2431,60.625,Iran,IR,Khorāsān-e Raẕavī,minor,100449.0,100449.0
Būmahen,Bumahen,بومهن,35.7314,51.8675,Iran,IR,Tehrān,,79034.0,79034.0
Māhdāsht,Mahdasht,ماهدشت,35.7194,50.7978,Iran,IR,Tehrān,,62910.0,62910.0
Meshkīn Dasht,Meshkin Dasht,مشکین‌دشت,35.7469,50.9361,Iran,IR,Tehrān,,62005.0,62005.0
Chahār Dangeh,Chahar Dangeh,چهاردانگه,35.5958,51.3083,Iran,IR,Tehrān,,49950.0,49950.0
Darcheh,Darcheh,درچه,32.6131,51.5531,Iran,IR,Eşfahān,,43183.0,43183.0
Eshtehārd,Eshtehard,اشتهارد,35.7247,50.3717,Iran,IR,Alborz,minor,29993.0,29993.0
Sardrūd,Sardrud,سردرود,38.0286,46.1475,Iran,IR,Āz̄arbāyjān-e Sharqī,,29739.0,29739.0
Garmdarreh,Garmdarreh,گرمدره,35.7478,51.0678,Iran,IR,Alborz,,22726.0,22726.0
Morteẕá Gerd,Morteza Gerd,مرتضی‌گرد,35.6019,51.3486,Iran,IR,Tehrān,,15506.0,15506.0
Khomām,Khomam,خمام,37.3911,49.6597,Iran,IR,Gīlān,,12901.0,12901.0
Bāsmenj,Basmenj,باسمنج,37.9964,46.4717,Iran,IR,Āz̄arbāyjān-e Sharqī,,12692.0,12692.0
Sangar,Sangar,سنگر,37.1797,49.6942,Iran,IR,Gīlān,,12583.0,12583.0
Kūshk,Kushk,کوشک,32.6419,51.4997,Iran,IR,Eşfahān,,11264.0,11264.0
Hamadānak,Hamadanak,هاماداناک,35.5422,51.1383,Iran,IR,Tehrān,,11216.0,11216.0
Lasht-e Neshā,Lasht-e Nesha,لشت نشا,37.3608,49.8611,Iran,IR,Gīlān,,10539.0,10539.0
Kūcheşfahān,Kuchesfahan,کوچصفهان,37.2783,49.7728,Iran,IR,Gīlān,,10026.0,10026.0
Shahrak-e Pārs,Shahrak-e Pars,شهرک پارس,35.6081,51.3808,Iran,IR,Tehrān,,8625.0,8625.0
Kond Rūd,Kond Rud,کندرود,38.0094,46.4794,Iran,IR,Āz̄arbāyjān-e Sharqī,,8518.0,8518.0
